hprd|gene_symbol|nuc_acc|pro_acc|entrez|omim|swissprot|name|synonyms
08850|GNAT1|NM_144499.1|NP_653082.1|2779|139330|P11488|Transducin alpha 1 chain|GNATR,
08851|HIST2H2AA3|NM_003516.2|NP_003507.1|8337|142720|Q6FI13|H2A histone family member O|H2AFO,HIST2H2AA,
08852|CHX10|NM_182894.1|NP_878314.1|338917|142993|P58304|CHX10|-
08853|IMPDH1|NM_000883.2|NP_000874.2|3614|146690|P20839|IMP (inosine monophosphate) dehydrogenase 1|IMPD1,
08854|INSL3|NM_005543.2|NP_005534.2|3640|146738|P51460|Insulin like 3|RLF,RLNL,
08855|PLSCR1|NM_021105.1|NP_066928.1|5359|604170|O15162|Phospholipid scramblase 1|-
08856|ITPA|NM_033453.2|NP_258412.1|3704|147520|Q9BY32|Inosine triphosphatase|C20orf37,
08857|IFNA7|NM_021057.2|NP_066401.2|3444|147567|P01567|Interferon alpha 7|-
08858|IREB2|NM_004136.2|NP_004127.1|3658|147582|P48200|Iron regulatory protein 2|-
08859|LGALS2|NM_006498.2|NP_006489.1|3957|150571|P05162|Galectin 2|-
08860|GNRH1|NM_000825.3|NP_000816.3|2796|152760|P01148|Gonadotropin releasing hormone 1|GNRH,GRH,LHRH,
08861|LOXL1|NM_005576.2|NP_005567.2|4016|153456|Q08397|Lysyl oxidase like 1|LOXL,
08862|MN1|NM_002430.2|NP_002421.3|4330|156100|Q10571|Meningioma 1|-
08863|MT2A|NM_005953.2|NP_005944.1|4502|156360|P02795|Metallothionein II|CES1,MT2,
08864|MARS|NM_004990.2|NP_004981.2|4141|156560|P56192|Methionyl tRNA synthetase|-
08865|SLC20A2|NM_006749.3|NP_006740.1|6575|158378|-|Solute carrier family 20, member 2|GLVR2,
08866|EVI2A|NM_001003927.1|NP_001003927.1|2123|158380|P22794|EVI2A|EVDA,EVI2,
08867|EVI2B|NM_006495.3|NP_006486.3|2124|158381|P34910|EVI2B|EVDB,
08868|MYBL1|X13294.1|P10243|4603|159405|P10243|Myb-related protein A|AMYB,
08869|LIF|NM_002309.2|NP_002300.1|3976|159540|P15018|Leukemia inhibitory factor|HILDA,
08870|MCL1|NM_021960.3|NP_068779.1|4170|159552|Q07820|Myeloid cell leukemia 1|-
08871|AFF1|NM_005935.1|NP_005926.1|4299|159557|P51825|MLLT2|AF4,FEL,MLLT2,PBM1,
08872|MYH1|NM_005963.3|NP_005954.3|4619|160730|P12882|Myosin heavy chain, skeletal muscle, adult 1|-
08873|MYH4|NM_017533.2|NP_060003.2|4622|160742|Q9Y623|Myosin, heavy chain 4, skeletal muscle|-
08874|NGFB|NM_002506.2|NP_002497.2|4803|162030|P01138|Nerve growth factor, beta|-
08875|NRL|NM_006177.3|NP_006168.1|4901|162080|P54845|Neural retina leucine zipper|-
08876|TAC1|NM_003182.1|NP_003173.1|6863|162320|P20366|Tachykinin, precursor 1 (substance K, substance P, neurokinin 1, neurokinin 2, neuromedin L, neurokinin alpha, neuropeptide K, neuropeptide gamma)|NKA,NKNA,TAC2,
08877|TAC3|NM_001006667.1|NP_001006668.1|6866|162330|Q9UHF0|Tachykinin 3|NKNB,
08878|NTS|NM_006183.3|NP_006174.1|4922|162650|P30990|Neurotensin|-
08879|OAS1|NM_001032409.1|NP_001027581.1|4938|164350|P00973|2`,5`-oligoadenylate synthetase 1|OIAS,
08880|OXT|NM_000915.2|NP_000906.1|5020|167050|P01178|Oxytocin neurophysin I|OT,
08881|ACP1|NM_004300.2|NP_004291.1|52|171500|P24666|Acid phosphatase 1|-
08882|POLD1|NM_002691.1|NP_002682.1|5424|174761|P28340|DNA polymerase, delta|POLD,
08883|KCNC2|NM_139137.2|NP_631875.1|3747|176256|-|Potassium voltage-gated channel, Shaw-related subfamily, member 2|-
08884|KCNA6|NM_002235.2|NP_002226.1|3742|176257|P17658|KCNA6|-
08885|KCNA1|NM_000217.2|NP_000208.2|3736|176260|Q09470|Potassium voltage gated channel, shaker related subfamily, member 1|-
08886|KCNC3|NM_004977.2|NP_004968.2|3748|176264|Q14003|KCNC3|-
08887|KCNC4|NM_004978.3|NP_004969.2|3749|176265|Q03721|Shaw related voltage gated potassium channel protein 4|-
08888|KCNA5|NM_002234.2|NP_002225.2|3741|176267|P22460|KCNA5|-
08889|PBX1|NM_002585.1|NP_002576.1|5087|176310|P40424|Pre-B-cell leukemia transcription factor 1|PRL,
08890|PBX2|NM_002586.4|NP_002577.2|5089|176311|P40425|Pre-B-cell leukemia transcription factor-2|G17,
08891|PSG2|NM_031246.1|NP_112536.1|5670|176391|P11465|Pregnancy specific beta 1glycoprotein 2|PSBG2,
08892|PSG3|NM_021016.3|NP_066296.2|5671|176392|Q16557|Pregnancy specific beta 1glycoprotein 3|-
08893|PSG4|NM_002780.3|NP_002771.2|5672|176393|Q00888|Pregnacy specific beta 1 glycoprotein 4|CGM4,PSG9,
08894|PSG5|NM_002781.2|NP_002772.2|5673|176394|Q15238|Pregnancy specific beta 1 glycoprotein 5|-
08895|PSG6|NM_002782.3|NP_002773.1|5675|176395|Q00889|Pregnancy specific beta 1 glycoprotein 6|CGM3,PSGGB,
08896|PSG7|NM_002783.1|NP_002774.1|5676|176396|Q13046|Pregnancy specific beta 1 glycoprotein 7|-
08897|PSG9|NM_002784.2|NP_002775.2|5678|176398|Q00887|Pregnancy specific beta 1 glycoprotein 9|PSG11,
08898|PSG11|NM_002785.2|NP_002776.2|5680|176401|Q9UQ72|Pregnancy specific beta 1 glycoprotein 11|PSG13,PSG14,
08899|PRIM1|NM_000946.2|NP_000937.1|5557|176635|P49642|DNA primase small subunit|-
08900|PRIM2A|NM_000947.2|NP_000938.2|5558|176636|P49643|DNA primase large subunit|-
08901|P4HA1|NM_000917.2|NP_000908.2|5033|176710|P13674|Procollagen-proline 2-oxoglutarate 4-dioxygenase alpha subunit|P4HA,
08902|MKI67|NM_002417.3|NP_002408.3|4288|176741|P46013|Antigen Ki-67|-
08903|PTGER1|NM_000955.2|NP_000946.2|5731|176802|P34995|Prostaglandin E2 receptor EP1 subtype|-
08904|PTGDS|NM_000954.5|NP_000945.3|5730|176803|P41222|Prostaglandin D2 synthase, brain|PDS,
08905|PTGER2|NM_000956.2|NP_000947.2|5732|176804|P43116|Prostaglandin E receptor 2 EP2 subtype|-
08906|PTGER3|NM_000957.2|NP_000948.2|5733|176806|P43115|Prostaglandin E receptor 3, EP3 subtype|-
08907|PSMA2|NM_002787.3|NP_002778.1|5683|176842|P25787|Proteasome subunit alpha type 2|PSC3,
08908|PCMT1|NM_005389.1|NP_005380.1|5110|176851|P22061|Protein carboxyl methyl transferase 1|-
08909|CDC2L1|NM_033486.1|NP_277021.1|984|176873|P21127|Cell division cycle 2 like 1|PITSLREA,PK58,
08910|PRKG1|NM_006258.2|NP_006249.1|5592|176894|P14619|Protein kinase cGMP-dependent type I|PRKGR1A,
08911|PPP1CC|NM_002710.1|NP_002701.1|5501|176914|P36873|Protein phosphatase 1, catalytic subunit, gamma isoform|-
08912|PPP2CA|NM_002715.2|NP_002706.1|5515|176915|-|Protein phosphatase 2A, catalytic subunit, alpha isoform|-
08913|RAG2|NM_000536.1|NP_000527.1|5897|179616|P55895|Recombination activating gene 2|-
08914|PDE6G|NM_002602.1|NP_002593.1|5148|180073|P18545|Retinal rod photoreceptor cGMP phosphodiesterase, gamma subunit|PDEG,
08915|JARID1A|NM_001042603.1|NP_001036068.1|5927|180202|P29375|Retinoblastoma binding protein 2|RBBP2,RBP2,
08916|POLR2A|NM_000937.2|NP_000928.1|5430|180660|P24928|RNA polymerase IIA 220 kd subunit|-
08917|HTR3A|NM_213621.1|NP_998786.1|3359|182139|P46098|5-hydroxytryptamine (serotonin) receptor 3A|5HT3R,HTR3,
08918|SLC34A1|NM_003052.2|NP_003043.2|6569|182309|Q06495|Solute carrier family 34, member 1|NPT2,SLC17A2,
08919|SLC5A2|NM_003041.2|NP_003032.1|6524|182381|P31639|Solute carrier family 5, member 2|SGLT2,
08920|SST|NM_001048.3|NP_001039.1|6750|182450|P61278|Somatostatin|-
08921|SOX2|NM_003106.2|NP_003097.1|6657|184429|P48431|SRY box 2|-
08922|SV2A|NM_014849.2|NP_055664.2|9900|185860|Q7L0J3|Synaptic vesicle glycoprotein 2A|KIAA0736,
08923|CD3E|NM_000733.2|NP_000724.1|916|186830|P07766|CD3E|T3E,
08924|CD81|NM_004356.3|NP_004347.1|975|186845|P60033|CD81 antigen|TAPA1,TSPAN28,
08925|DNTT|NM_004088.3|NP_004079.3|1791|187410|P04053|DNA nucleotidylexotransferase|TDT,
08926|TCF2|NM_000458.1|NP_000449.1|6928|189907|P35680|Transcription factor 2|-
08927|TPR|U69668.1|AAB48030.1|7175|189940|P12270|Translocated promoter region|-
08928|GTF2B|NM_001514.3|NP_001505.1|2959|189963|Q00403|Transcription initiation factor IIB|TF2B,TFIIB,
08929|TNNC2|NM_003279.2|NP_003270.1|7125|191039|P02585|TNNC2|-
08930|TNNC1|NM_003280.1|NP_003271.1|7134|191040|P63316|TNNC1|TNNC,
08931|UBA52|NM_003333.3|NP_003324.1|7311|191321|P62987|60S ribosomal protein L40|UBCEP2,
08932|UPP1|NM_003364.2|NP_003355.1|7378|191730|Q16831|Uridine phosphorylase 1|UP,
08933|UGT1A1|NM_000463.2|NP_000454.1|54658|191740|P22309|UDP glycosyltransferase 1 family, polypeptide A1|GNT1,UGT1,
08934|UGP2|NM_006759.3|NP_006750.3|7360|191760|Q16851|UDP glucose pyrophosphorylase 2|UGP1,
08935|XRCC5|NM_021141.2|NP_066964.1|7520|194364|P13010|Ku antigen, 80kDa|G22P2,
08936|ZNF77|NM_021217.1|NP_067040.1|58492|194551|Q15935|Zinc finger protein 77|-
08938|OGDH|NM_002541.2|NP_002532.2|4967|203740|Q02218|2-oxoglutarate dehydrogenase E1 component|-
08939|C2|NM_000063.3|NP_000054.2|717|217000|P06681|Complement component 2|-
08940|KYNU|NM_003937.2|NP_003928.1|8942|236800|Q16719|Kynureninase|-
08941|CYB5A|NM_148923.2|NP_683725.1|1528|250790|P00167|Cytochrome b-5|CYB5,
08942|CYB5R3|NM_000398.4|NP_000389.1|1727|250800|P00387|Cytochrome-b5 reductase|DIA1,
08943|PAH|NM_000277.1|NP_000268.1|5053|261600|P00439|Phenylalanine hydroxylase|-
08944|TRH|NM_007117.1|NP_009048.1|7200|275120|P20396|Thyrotropin releasing hormone|-
08946|CNGA2|NM_005140.1|NP_005131.1|1260|300338|Q16280|Cyclic nucleotide gated channel alpha 2|CNCA,CNCA1,CNCG2,
08947|OTC|NM_000531.3|NP_000522.3|5009|300461|P00480|Ornithine carbamoyltransferase|-
08948|TBC1D25|NM_002536.2|NP_002527.1|4943|311240|-|Ornithine aminotransferase like 1|OATL1,
08949|PRKY|NM_002760.3|NP_002751.1|5616|400008|O43930|Protein kinase Y-linked|-
08950|HDAC3|NM_003883.2|NP_003874.2|8841|605166|O15379|Histone deacetylase 3|-
08957|USP6NL|NM_001080491.1|NP_001073960.1|9712|605405|Q92738|USP6 N terminal like|KIAA0019,
08958|RASD1|NM_016084.3|NP_057168.1|51655|605550|Q9Y272|RASD1|AGS1,DEXRAS1,
08959|PTGIR|NM_000960.3|NP_000951.1|5739|600022|P43119|Prostacyclin receptor|PRIPR,
08960|CDH11|NM_001797.2|NP_001788.2|1009|600023|P55287|Cadherin 11|-
08961|DLX1|NM_178120.4|NP_835221.2|1745|600029|P56177|Distal less homeobox 1|-
08962|TFPI2|NM_006528.2|NP_006519.1|7980|600033|P48307|Tissue factor pathway inhibitor 2|-
08963|EMX1|NM_004097.2|NP_004088.2|2016|600034|Q04741|EMX1|-
08964|OTX1|NM_014562.2|NP_055377.1|5013|600036|P32242|Orthodenticle 1|-
08965|MC5R|NM_005913.1|NP_005904.1|4161|600042|P33032|Melanocortin 5 receptor|-
08966|SULT1E1|NM_005420.2|NP_005411.1|6783|600043|P49888|Estrogen sulfotransferase|STE,
08967|ABCA2|NM_212533.1|NP_997698.1|20|600047|Q9BZC7|ABCA2|ABC2,
08968|EPS15|NM_001981.2|NP_001972.1|2060|600051|P42566|Eps15|AF1P,
08969|CCT3|NM_005998.3|NP_005989.3|7203|600114|P49368|Chaperonin containing T complex polypeptide 1, subunit 1|CCTG,TRIC5,
08970|AQP3|NM_004925.3|NP_004916.1|360|600170|Q92482|Aquaporin 3|-
08971|CRAT|NM_000755.2|NP_000746.2|1384|600184|P43155|Carnitine acetyltransferase|CAT1,
08972|PIK4CA|NM_058004.1|NP_477352.1|5297|600286|P42356|Phosphatidylinositol 4-kinase alpha|-
08973|ADCY5|NM_183357.1|NP_899200.1|111|600293|O95622|Adenylate cyclase 5|-
08974|NPPB|NM_002521.2|NP_002512.1|4879|600295|P16860|Brain natriuretic peptide|-
08975|NPPC|NM_024409.1|NP_077720.1|4880|600296|P23582|Natriuretic peptide C|CNP2,
08976|CXCL5|NM_002994.3|NP_002985.1|6374|600324|P42830|Chemokine, CXC motif ligand 5|ENA78,SCYB5,
08977|SYT3|NM_032298.1|NP_115674.1|84258|600327|Q9BQG1|Synaptotagmin 3|-
08978|MLLT6|NM_005937.3|NP_005928.2|4302|600328|P55198|AF 17|AF17,
08979|SLC18A3|NM_003055.2|NP_003046.2|6572|600336|Q16572|Solute carrier family 18, member 3|VACHT,
08980|ID1|NM_002165.2|NP_002156.2|3397|600349|P41134|Inhibitor of DNA binding 1, dominant negative helix-loop-helix protein|ID,
08981|KCNJ1|NM_000220.2|NP_000211.1|3758|600359|P48048|Potassium channel inwardly rectifying subfamily J member 1|ROMK1,
08982|BBS4|NM_033028.2|NP_149017.2|585|600374|Q96RK4|BBS4|-
08983|KCNB1|NM_004975.2|NP_004966.1|3745|600397|Q14721|KCNB1|-
08984|ADORA3|NM_000677.3|NP_000668.1|140|600445|P33765|Adenosine A3 receptor|-
08985|PCSK5|NM_006200.2|NP_006191.2|5125|600488|Q92824|Proprotein convertase subtilisin/kexin type 5|PC5,PC6,
08986|PLA2G4A|NM_024420.2|NP_077734.1|5321|600522|P47712|Cytosolic phospholipase A2|CPLA2,PLA2G4,
08987|AUH|NM_001698.1|NP_001689.1|549|600529|Q13825|AU binding protein, enoyl-CoA hydratase|-
08988|PTGFR|NM_000959.3|NP_000950.1|5737|600563|P43088|Prostaglandin F2 alpha receptor|-
08989|NRXN3|AJ316284.2|CAC87720.2|9369|600567|Q9Y4C0|Neurexin 3|KIAA0743,
08990|REST|NM_005612.3|NP_005603.2|5978|600571|Q13127|RE1 silencing transcription factor|NRSF,XBR,
08991|SFRS7|BC022328.1|AAH22328.1|6432|600572|Q16629|Splicing factor, arginine/serine-rich 7,35kDa|AAG3,
08992|LZTR1|NM_006767.3|NP_006758.2|8216|600574|Q8N653|Leucine zipper like transcriptional regulator 1|TCFL2,
08993|TSN|NM_004622.2|NP_004613.1|7247|600575|Q15631|Translin|-
08994|GATA4|NM_002052.2|NP_002043.2|2626|600576|P43694|GATA binding protein 4|-
08995|ID4|NM_001546.2|NP_001537.1|3400|600581|P47928|Inhibitor of DNA binding 4|-
08996|ASPH|NM_004318.2|NP_004309.2|444|600582|Q12797|Aspartate beta-hydroxylase|-
08997|TGM4|NM_003241.2|NP_003232.1|7047|600585|P49221|Transglutaminase 4|-
08998|SNAPC1|NM_003082.2|NP_003073.1|6617|600591|Q16533|SNAP43|SNAP43,
08999|DGCR2|NM_005137.2|NP_005128.1|9993|600594|P98153|DiGeorge critical region gene 2|IDD,KIAA0163,
09000|IFT88|NM_175605.3|NP_783195.2|8100|600595|Q13099|TG737|TG737,TTC10,
09001|NBL1|NM_182744.2|NP_877421.2|4681|600613|P41271|Neuroblastoma, suppression of tumorigenicity 1|DAN,DAND1,
09002|LGALS7|NM_002307.1|NP_002298.1|3963|600615|P47929|Galectin 7|PIG1,
09003|STMN2|NM_007029.2|NP_008960.2|11075|600621|Q93045|Stathmin like 2|SCG10,SCGN10,
09004|CD82|NM_002231.3|NP_002222.1|3732|600623|P27701|CD82 antigen|KAI1,SAR2,ST6,TSPAN27,
09005|SLC1A6|NM_005071.1|NP_005062.1|6511|600637|P48664|Solute carrier family 1, member 6|EAAT4,
09006|SCN8A|NM_014191.2|NP_055006.1|6334|600702|Q9UQD0|Sodium channel, voltage gated type VIII alpha subunit|MED,
09007|NFIA|NM_005595.1|NP_005586.1|4774|600727|Q12857|Nuclear factor I/A|KIAA1439,
09008|NFIB|NM_005596.2|NP_005587.2|4781|600728|O00712|Nuclear factor I/B|-
09009|NFIC|X12492.2|P08651|4782|600729|P08651|Nuclear factor I/C|NFI,
09010|KCNJ5|NM_000890.3|NP_000881.3|3762|600734|P48544|Potassium inwardly rectifying channel subfamily J member 5|GIRK4,
09011|KLHL3|NM_017415.1|NP_059111.1|26249|605775|Q9UH77|Kelch like 3|KIAA1129,
09012|MR1|NM_001531.1|NP_001522.1|3140|600764|-|MHC related protein 1|-
09013|RALBP1|NM_006788.3|NP_006779.1|10928|605801|Q15311|RalA binding protein 1|RLIP1,RLIP76,
09014|ANP32A|NM_006305.2|NP_006296.1|8125|600832|P39687|HLA DR associated protein I|C15orf1,LANP,MAPM,PHAP1,
09015|ST7|NM_021908.2|NP_068708.1|7982|600833|-|Suppression of tumorigenicity 7|FAM4A1,
09016|P2RX3|NM_002559.2|NP_002550.2|5024|600843|P56373|Purinergic receptor P2X ligand gated ion channel 3|-
09017|P2RX4|NM_002560.2|NP_002551.2|5025|600846|Q99571|Purinergic receptor P2X, ligand gated ion channel, 4|-
09018|DYRK1A|NM_001396.3|NP_001387.2|1859|600855|Q13627|Dual-specificity tyrosine phosphorylation regulated kinase 1A|DYRK,MNB,MNBH,
09019|ASTN1|NM_004319.1|NP_004310.1|460|600904|O14525|Astrotactin|ASTN,KIAA0289,
09020|NES|NM_006617.1|NP_006608.1|10763|600915|P48681|Nestin|-
09021|CRYBB1|NM_001887.3|NP_001878.1|1414|600929|P53674|Crystallin beta B1|-
09022|KCNJ11|NM_000525.3|NP_000516.3|3767|600937|Q14654|Inwardly rectifying potassium channel KIR6.2|-
09023|SET|NM_003011.2|NP_003002.1|6418|600960|Q01105|SET protein|-
09024|SIX5|NM_175875.3|NP_787071.2|147912|600963|Q8N196|Sine oculis homeobox homolog 5|DMAHP,
09025|HSPA4|NM_002154.3|NP_002145.3|3308|601113|P34932|Heat shock 70kDa protein 4|APG2,
09026|ERH|NM_004450.1|NP_004441.1|2079|601191|P84090|ERH|-
09027|DIO2|NM_001007023.2|NP_001007024.1|1734|601413|Q92813|Deiodinase, iodothyronine, type II|ITDI2,TXDI2,
09028|SLC39A7|NM_006979.2|NP_008910.2|7922|601416|Q92504|Solute carrier family 39 member 7|HKE4,RING5,
09029|DAZL|NM_001351.2|NP_001342.2|1618|601486|Q92904|DAZLA|DAZH,DAZL1,DAZLA,SPGYLA,
09030|NFE2|NM_006163.1|NP_006154.1|4778|601490|Q16621|NFE2|-
09031|TAF15|NM_139215.1|NP_631961.1|8148|601574|Q92804|TAF15|RBP56,TAF2N,
09032|PTPRCAP|NM_005608.2|NP_005599.1|5790|601577|Q14761|PTPRC-associated protein|LPAP,
09033|INPP5D|NM_001017915.1|NP_001017915.1|3635|601582|O00145|SHIP1|SHIP,SHIP1,
09034|PRKG2|NM_006259.1|NP_006250.1|5593|601591|Q13237|Protein kinase cGMP dependent Type II|PRKGR2,
09035|ETV5|NM_004454.1|NP_004445.1|2119|601600|P41161|ETS translocation variant 5|ERM,
09036|SMN2|NM_017411.2|NP_059107.1|6607|601627|-|Survival of motor neuron 2, centromeric|SMN,SMNT,SMNC,
09037|ACOX2|NM_003500.2|NP_003491.1|8309|601641|Q99424|Acyl-Coenzyme A oxidase 2, branched chain|-
09038|PPP2R5B|NM_006244.2|NP_006235.1|5526|601644|Q15173|Protein phosphatase 2 regulatory subunit B (B56) beta|-
09039|PPP2R5D|NM_006245.2|NP_006236.1|5528|601646|Q14738|Protein phosphatase 2 regulatory subunit B (B56), delta|-
09040|PPP2R5E|NM_006246.2|NP_006237.1|5529|601647|Q16537|Protein phosphatase 2 regulatory subunit B (B56) epsilon|-
09041|EYA2|NM_172113.1|NP_742111.1|2139|601654|O00167|Eyes absent 2|EAB1,
09042|EYA3|NM_001990.2|NP_001981.2|2140|601655|Q99504|Eyes absent 3|-
09043|GATA6|NM_005257.3|NP_005248.2|2627|601656|Q92908|GATA binding protein 6|-
09044|C21orf33|NM_004649.5|NP_004640.2|8209|601659|P30042|Chromosome 21 open reading frame 33|HES1,KNPI,
09045|UBE2I|NM_003345.3|NP_003336.1|7329|601661|P63279|Ubiquitin conjugating enzyme E2I|UBC9,UBCE9,
09046|PTGIS|NM_000961.3|NP_000952.1|5740|601699|Q16647|Prostaglandin I2 synthase|CYP8,CYP8A1,
09047|ENTPD1|NM_001098175.1|NP_001091645.1|953|601752|P49961|Ectonucleoside triphosphate diphosphohydrolase 1|CD39,
09048|GNPDA1|NM_005471.3|NP_005462.1|10007|601798|P46926|Glucosamine-6-phosphate deaminase 1|GNPI,HLN,KIAA0060,
09049|BIRC1|NM_004536.2|NP_004527.2|4671|600355|Q13075|Baculoviral IAP repeat containing 1|-
09050|CRY1|NM_004075.2|NP_004066.1|1407|601933|Q16526|CRY1|PHLL1,
09051|PAWR|NM_002583.2|NP_002574.2|5074|601936|Q96IZ0|PRKC, apoptosis, WT1, regulator|PAR4,
09052|SFRS4|NM_005626.3|NP_005617.2|6429|601940|Q08170|Splicing factor, arginine/serine-rich 4|SRP75,
09053|SFRS9|NM_003769.2|NP_003760.1|8683|601943|Q13242|SRp30c|SRP30C,
09054|SFRS6|NM_006275.4|NP_006266.2|6431|601944|Q13247|Splicing factor, arginine/serine-rich 6|SRP55,
09055|SFRS8|NM_004592.2|NP_004583.2|6433|601945|Q12872|Splicing factor, arginine/serine-rich 8|SWAP,
09056|SOX12|NM_006943.2|NP_008874.2|6666|601947|O15370|SRY-box 12|SOX22,
09057|CACNB4|NM_000726.2|NP_000717.2|785|601949|O00305|Calcium channel voltage dependent beta 4 subunit|CACNLB4,
09058|CLK1|NM_004071.2|NP_004062.2|1195|601951|P49759|CDC like kinase 1|CLK,
09059|CCNH|NM_001239.2|NP_001230.1|902|601953|P51946|Cyclin H|-
09060|PRMT2|NM_206962.1|NP_996845.1|3275|601961|P55345|Protein arginine N-methyltransferase 2|HMT1,HRMT1L1,
09061|TAPBP|NM_003190.3|NP_003181.3|6892|601962|O15533|Tapasin|NGS17,TAPA,
09062|RORB|NM_006914.3|NP_008845.2|6096|601972|Q92753|RAR related orphan receptor B|NR1F2,RZRB,
09063|LIPF|NM_004190.2|NP_004181.1|8513|601980|P07098|Gastric lipase|-
09064|CCDC6|NM_005436.2|NP_005427.2|8030|601985|Q16204|Coiled coil domain containing 6|D10S170,TST1,
09065|CPT1B|NM_004377.2|NP_004368.1|1375|601987|Q92523|Carnitine palmitoyltransferase 1B|KIAA1670,
09066|NCOA2|NM_006540.2|NP_006531.1|10499|601993|Q15596|TIF2|TIF2,
09067|LHX1|NM_005568.2|NP_005559.2|3975|601999|P48742|LIM homeobox gene 1|LIM-1,LIM1,
09068|PIAS3|NM_006099.3|NP_006090.2|10401|605987|Q9Y6X2|Protein inhibitor of activated STAT3|-
09069|TBX1|NM_080647.1|NP_542378.1|6899|602054|O43435|T box 1 transcription factor C|-
09070|ADARB2|NM_018702.1|NP_061172.1|105|602065|Q9NS39|RNA dependent adenosine deaminase 3|ADAR3,RED2,
09071|CHD3|NM_001005271.1|NP_001005271.1|1107|602120|Q12873|Chromodomain helicase DNA binding protein 3|-
09072|PFAS|NM_012393.1|NP_036525.1|5198|602133|O15067|Phosphoribosylformylglycinamidine synthase|KIAA0361,
09073|PLCD1|NM_006225.2|NP_006216.2|5333|602142|P51178|Phospholipase C delta 1|-
09074|HTR4|AJ131726.1|CAC79538.1|3360|602164|Q13639|Serotonin receptor 4|htr4,
09075|BAPX1|NM_001189.2|NP_001180.1|579|602183|P78367|Bagpipe homeobox|-
09076|HSPB1|NM_001540.2|NP_001531.1|3315|602195|P04792|Heat shock protein 27|HSP27,
09077|KCNQ3|NM_004519.2|NP_004510.1|3786|602232|O43525|Potassium voltage gated channel KQT like subfamily member 3|-
09078|SC5DL|NM_006918.4|NP_008849.2|6309|602286|O75845|Delta 5 desaturase|-
09079|AGRP|NM_001138.1|NP_001129.1|181|602311|O00253|Agouti related protein|AGRT,ART,
09080|OVOL1|NM_004561.2|NP_004552.2|5017|602313|O14753|OVO like 1|-
09081|NELL1|NM_006157.2|NP_006148.1|4745|602319|Q92832|NEL like 1|NRP1,
09082|POLR2H|NM_006232.2|NP_006223.2|5437|606023|P52434|RNA polymerase II, polypeptide H|-
09083|KCNJ12|NM_021012.4|NP_066292.2|3768|602323|Q14500|Potassium inwardly rectifying channel subfamily J member 12|IRK2,KCNJN1,
09084|EIF4G2|NM_001418.3|NP_001409.1|1982|602325|P78344|EIF4G2|DAP5,
09085|PSD|NM_002779.3|NP_002770.3|5662|602327|-|Pleckstrin-Sec7 domains protein|EFA6,KIAA2011,PSD1,TYL,
09086|ORC5L|NM_002553.2|NP_002544.1|5001|602331|O43913|Origin recognition complex, subunit 5-like|-
09087|PRPF4B|NM_003913.4|NP_003904.3|8899|602338|Q13523|PRP4 pre-mRNA processing factor 4 homolog B|KIAA0536,PRP4,PRP4H,PRP4K,
09088|SLC15A2|NM_021082.2|NP_066568.2|6565|602339|Q16348|Solute carrier family 15 member 2|PEPT2,
09089|CYR61|NM_001554.3|NP_001545.2|3491|602369|O00622|Cysteine rich angiogenic inducer 61|CCN1,GIG1,IGFBP10,
09090|SYMPK|NM_004819.2|NP_004810.2|8189|602388|Q92797|Symplekin|SPK,
09091|DTNB|NM_021907.3|NP_068707.1|1838|602415|O60941|Dystrobrevin beta|-
09092|NKX6-1|NM_006168.2|NP_006159.2|4825|602563|P78426|NKX6A|NKX6A,
09093|RFNG|NM_002917.1|NP_002908.1|5986|602578|Q9Y644|Radical fringe homolog|-
09094|MCM4|NM_005914.2|NP_005905.2|4173|602638|P33991|DNA replication licensing factor MCM4|CDC21,
09095|CCBP2|NM_001296.3|NP_001287.2|1238|602648|O00590|CC chemokine receptor D6|CCR10,CMKBR9,
09096|NFATC4|NM_004554.3|NP_004545.2|4776|602699|Q14934|NFAT3|NFAT3,
09097|KRT83|NM_002282.2|NP_002273.2|3889|602765|P78385|Keratin hair basic 3|KRTHB3,
09098|KRT84|NM_033045.3|NP_149034.2|3890|602766|Q9NSB2|KRTHB4|KRTHB4,
09099|HCN1|NM_021072.2|NP_066550.2|348980|602780|O60741|HCN1|BCNG1,
09100|HIST1H2AK|NM_003510.2|NP_003501.1|8330|602788|P0C0S8|H2A histone family member D|H2AFP,H2AFC,H2AFD,H2AFI,H2AFN,
09101|FHL3|NM_004468.3|NP_004459.2|2275|602790|Q13643|Four and a half LIM domains 3|SLIM2,
09102|HIST1H2AJ|NM_021066.2|NP_066544.1|8331|602791|-|H2A histone family member E|H2AFE,
09103|HIST1H2AL|NM_003511.2|NP_003502.1|8332|602793|-|H2A histone family member I|H2AFP,H2AFC,H2AFD,H2AFI,H2AFN,
09104|HIST1H2AC|NM_003512.3|NP_003503.1|8334|602794|Q93077|H2A histone family member L|H2AFL,
09105|HIST1H2AB|NM_003513.2|NP_003504.2|8335|602795|P04908|H2A histone family member M|H2AFM,
09106|HIST1H2AM|NM_003514.2|NP_003505.1|8336|602796|-|H2A histone family member N|H2AFP,H2AFC,H2AFD,H2AFI,H2AFN,
09107|HIST2H2AC|NM_003517.2|NP_003508.1|8338|602797|Q16777|H2A histone family member Q|H2AFQ,
09108|KIF5A|NM_004984.2|NP_004975.2|3798|602821|Q12840|Kinesin family member 5A|NKHC1,
